Date,GL Date,Type,Trx Number,Order Number,Amount of INV/DM/CM/PMT,Balance
12,1/3/2021,Invoice,90201138,,"110,167.44","110,167.44"
12,1/3/2021,Invoice,90201140,,"132,756.00","242,923.44"
12,1/3/2021,Invoice,90201164,,"170,430.00","413,353.44"
01,1/3/2021,Invoice,90205347,,"56,221.20","469,574.64"
01,1/3/2021,Invoice,90205634,,"56,221.20","525,795.84"
01,1/3/2021,Invoice,90210156,,"57,960.00","583,755.84"
01,1/3/2021,Invoice,90210689,,"67,275.00","651,030.84"
01,1/3/2021,Invoice,90210763,,"57,960.00","708,990.84"
01,1/3/2021,Invoice,90210769,,"57,960.00","766,950.84"
02,1/3/2021,Invoice,90215973,,"23,986.70","790,937.54"
02,1/3/2021,Invoice,90215993,,"69,563.50","860,501.04"
02,1/3/2021,Invoice,90216036,,"147,108.00","1,007,609.04"
02,1/3/2021,Invoice,90216080,,"209,331.63","1,216,940.67"
02,1/3/2021,Invoice,90216154,,"59,698.80","1,276,639.47"
02,1/3/2021,Invoice,90216158,,"59,698.80","1,336,338.27"
02,1/3/2021,Invoice,90216178,,"59,698.80","1,396,037.07"
02,1/3/2021,Invoice,90216254,,"67,045.00","1,463,082.07"
02,1/3/2021,Invoice,90216415,,"59,698.80","1,522,780.87"
02,19/12/2020,Credit Memo,2019388,,"-14,950.00","1,507,830.87"
02,19/12/2020,Credit Memo,2019483,,"-3,477.60","1,504,353.27"
02,19/12/2020,Credit Memo,2019661,,"-21,990.35","1,482,362.92"
02,1/3/2021,Invoice,90217658,,"190,440.00","1,672,802.92"
02,1/3/2021,Invoice,90217800,,"124,200.00","1,797,002.92"
03,6/3/2021,Payment,132127,,"-20,000.00","1,777,002.92"
03,18/03/2021,Payment,132143,,"-10,000.00","1,767,002.92"
03,31/03/2021,Invoice,90222507,,"153,794.65","1,920,797.57"
03,19/12/2020,Credit Memo,2006135,,"-6,394.00","1,914,403.57"
03,21/03/2021,Payment,132144,,"-10,000.00","1,904,403.57"
03,21/03/2021,Payment,132146,,"-10,000.00","1,894,403.57"
03,19/12/2020,Credit Memo,2006331,,"-22,985.33","1,871,418.24"
03,23/03/2021,Invoice,90223501,3712713,"69,575.00","1,940,993.24"
03,23/03/2021,Payment,132149,,"-10,000.00","1,930,993.24"
03,19/12/2020,Credit Memo,2006654,,"-13,317.00","1,917,676.24"
03,28/03/2021,Payment,132154,,"-10,000.00","1,907,676.24"
03,28/03/2021,Payment,132156,,"-10,000.00","1,897,676.24"
03,19/12/2020,Credit Memo,2006804,,"-14,948.85","1,882,727.39"
03,30/03/2021,Payment,132159,,"-10,000.00","1,872,727.39"
03,30/03/2021,Payment,132165,,"-10,000.00","1,862,727.39"
03,31/03/2021,Payment,132169,,"-10,000.00","1,852,727.39"
03,31/03/2021,Payment,132174,,"-75,000.00","1,777,727.39"
03,31/03/2021,Payment,132175,,"-50,000.00","1,727,727.39"
03,31/03/2021,Payment,132430,,"-155,000.00","1,572,727.39"
04,4/4/2021,Payment,132436,,"-10,000.00","1,562,727.39"
04,4/4/2021,Payment,132437,,"-20,000.00","1,542,727.39"
04,4/4/2021,Payment,132438,,"-10,000.00","1,532,727.39"
04,5/4/2021,Payment,132439,,"-29,000.00","1,503,727.39"
04,6/4/2021,Invoice,90226384,3713691,"69,575.00","1,573,302.39"
04,6/4/2021,Invoice,90226433,3713692,"69,575.00","1,642,877.39"
04,6/4/2021,Invoice,90226437,3713693,"64,515.00","1,707,392.39"
04,6/4/2021,Payment,132440,,"-10,000.00","1,697,392.39"
04,6/4/2021,Payment,132441,,"-10,000.00","1,687,392.39"
04,7/4/2021,Payment,132442,,"-40,000.00","1,647,392.39"
04,8/4/2021,Payment,132444,,"-50,000.00","1,597,392.39"
04,8/4/2021,Payment,132445,,"-20,000.00","1,577,392.39"
04,10/4/2021,Invoice,90227021,3713690,"69,575.00","1,646,967.39"
04,12/4/2021,Payment,132446,,"-30,000.00","1,616,967.39"
04,12/4/2021,Payment,132447,,"-50,000.00","1,566,967.39"
04,12/4/2021,Payment,132448,,"-50,000.00","1,516,967.39"
04,12/4/2021,Payment,51752,,"-30,000.00","1,486,967.39"
04,13/04/2021,Payment,132450,,"-10,000.00","1,476,967.39"
04,13/04/2021,Payment,51753,,"-10,000.00","1,466,967.39"
04,13/04/2021,Payment,51760,,"-10,000.00","1,456,967.39"
04,14/04/2021,Payment,51764,,"-10,000.00","1,446,967.39"
04,15/04/2021,Invoice,90228214,3722809,"58,539.60","1,505,506.99"
